quarter,NHCCI,NHCCI-Seasonally-Adjusted,grp9-pct-change-Grading-Excavation,grp9-pct-change-Bridge,grp9-pct-change-Asphalt,grp9-pct-change-Concrete,grp9-pct-change-Base-Stone,grp9-pct-change-Drainage,grp9-pct-change-Traffic-Control,grp9-pct-change-Electrical,grp9-pct-change-Utilities-erosion-control-clearing-painting-and-equipment,grp13-pct-change-Grading-Excavation,grp13-pct-change-Bridge,grp13-pct-change-Asphalt,grp13-pct-change-Concrete,grp13-pct-change-Base-Stone,grp13-pct-change-Drainage,grp13-pct-change-Traffic-Control,grp13-pct-change-Erosion-Control,grp13-pct-change-Clearing,grp13-pct-change-Electrical,grp13-pct-change-Structures,grp13-pct-change-Utility,grp13-pct-change-Equipment,grp25-pct-change-Grading-Excavation,grp25-pct-change-Bridge,grp25-pct-change-Asphalt,grp25-pct-change-Concrete_Pavement,grp25-pct-change-Concrete-Misc,grp25-pct-change-Concrete-Culvers,grp25-pct-change-Base-Stone,grp25-pct-change-Drainage-Pipe,grp25-pct-change-Drainage-Inlets-Catch-Basins,grp25-pct-change-Underdrain,grp25-pct-change-Traffic-Control,grp25-pct-change-Guard-Rail,grp25-pct-change-Fencing,grp25-pct-change-Signs-Permanent,grp25-pct-change-Striping-Pavement-Marking,grp25-pct-change-Clearing,grp25-pct-change-Equipment-Labor,grp25-pct-change-Grassing,grp25-pct-change-Erosion-Control,grp25-pct-change-Retaining-Wall,grp25-pct-change-Misc-Stone-Riprap,grp25-pct-change-Painting-Structures,grp25-pct-change-Buildings-Misc-Structures,grp25-pct-change-Electrical,grp25-pct-change-Utility
2005 Q3,1.371839,1.348135227,1.274992181,1.023329186,3.113635546,0.237611381,0.294129256,0.26953774,0.374016433,0.091491046,0.375119737,1.272012423,1.020937584,3.106358733,0.237056064,0.293441853,0.268907809,0.373142327,0.145944472,0.207740944,0.091277224,0.015078227,0.02085383,0.001111015,1.27001312,1.019332911,3.101476269,0.13048701,0.121776057,0.004857848,0.292980631,0.001740075,0.182661897,0.078641444,0.142765935,-0.038171211,0.005082712,0.059986929,0.217448221,0.207414424,0.001109269,-0.016424438,0.053246308,0.059422591,0.028753124,0.00753501,0.009771557,0.091133758,0.020821053
2005 Q4,1.412496,1.420180815,0.075279601,0.62897989,1.675027652,-0.202899941,0.054294408,0.308880361,0.268179209,0.144582005,0.011329197,0.075313523,0.629263314,1.675782435,-0.202991369,0.054318874,0.309019545,0.268300053,-0.014899491,-0.004441191,0.144647155,0.011572865,0.014130403,0.003636267,0.069180859,0.578023377,1.539326068,-0.296916055,0.251303304,0.099117562,0.049895772,0.234224587,0.02530271,0.034025493,0.068436168,0.198150368,-0.013428947,0.01766898,-0.039324186,-0.004079552,0.003340171,-0.028080648,0.042025339,-0.008578599,-0.012006096,0.001758313,0.008438847,0.132868761,0.012979786
2006 Q1,1.448616,1.470313152,0.219355346,1.098834051,1.02111562,0.503161575,0.15337484,-0.018319973,-0.137519655,0.093701302,-0.376554265,0.2148006,1.076017598,0.999912932,0.492713808,0.150190128,-0.017939572,-0.134664164,-0.164870785,-0.140795958,0.091755666,0.012506642,-0.008325381,-0.014152672,0.216082101,1.082437125,1.005878417,0.262857297,0.079257628,0.121476615,0.151086163,0.02475673,0.023214456,-0.035871962,-0.016450164,-0.093572095,-0.00705802,0.043692532,-0.061847776,-0.141635948,-0.014237107,0.045275591,-0.015143886,-0.173448051,-0.018791717,0.010955404,-0.015692523,0.092303081,-0.008375051
2006 Q2,1.52135,1.515516818,-0.151080557,-0.122798828,3.363928081,0.061851705,0.268469777,0.272527715,0.44759514,0.133516922,0.746953185,-0.150527501,-0.122349303,3.351613858,0.061625286,0.267486998,0.271530081,0.445956643,0.390825584,0.333974045,0.133028161,-0.002418826,0.027507779,0.012710334,-0.149861168,-0.121807705,3.336777429,0.128545586,-0.0584805,-0.01471713,0.266302926,0.163730874,0.084919325,0.018096921,0.199372274,0.125926806,-0.002352945,0.022284547,0.097085284,0.332495658,0.012654069,0.016233796,-0.006847933,0.257374319,0.155767673,-0.001361058,-0.001001213,0.132439292,0.027386011
2006 Q3,1.618392,1.578343946,1.193798861,1.189085584,2.351726444,0.789872405,0.285141396,0.018131231,0.355881762,0.022457998,0.172612504,1.175732372,1.171090423,2.316136327,0.777918782,0.280826177,0.01785684,0.350495985,0.354358658,-0.124291948,0.022118127,0.009251758,0.061598205,-0.03438352,1.181436551,1.176772082,2.327373286,0.297881728,0.35971212,0.118184772,0.282188632,-0.110374772,0.128248028,-0.000299312,0.186646751,0.035871985,0.007538401,0.050177469,0.031179913,-0.124894963,-0.034550335,0.06267335,0.009678186,0.209775263,0.089101199,-0.001487627,0.011752989,0.022225436,0.061897055
2006 Q4,1.552662,1.583836733,-0.587235558,-0.550041582,-1.526394286,-0.603501449,-0.390485562,-0.316437208,0.026720523,0.037616794,-0.151691147,-0.58636677,-0.549227821,-1.524136057,-0.602608597,-0.389907857,-0.315969054,0.026680991,-0.002872151,-0.110697681,0.037561142,0.001229881,-0.057484938,0.01234944,-0.536865233,-0.502861582,-1.395467309,-0.287944322,-0.290051821,0.055666208,-0.356991533,-0.006249456,-0.225601076,-0.058940261,-0.549278115,0.010747905,0.021206286,0.061123034,0.016847433,-0.101352497,0.01130689,-0.114827531,0.049801143,0.191684426,-0.025472043,0.002054453,-0.011742661,0.034390201,-0.052632015
2007 Q1,1.563617,1.563841707,1.597598624,0.558048894,-0.76616252,0.064467642,0.382677225,0.085546324,-0.914978027,-0.017342406,-0.284304926,1.633733097,0.57067084,-0.783491578,0.06592577,0.391332616,0.087481211,-0.935672993,-0.240770196,-0.004474525,-0.017734656,-0.011803437,-0.039934512,-0.009710805,1.16105544,0.405562257,-0.556808918,-0.052582972,0.213747707,-0.020658971,0.278110827,0.021426197,0.021809567,0.017532094,-0.137250862,-0.068491599,-0.00255096,-0.209267811,-0.153257994,-0.003179939,-0.006901239,-0.036440182,0.011466208,-0.160942353,0.030327337,-0.002335728,-0.003833159,-0.0126036,-0.028380513
2007 Q2,1.561181,1.554761802,-0.002615212,0.08266461,-0.330187492,0.248935809,-0.031159019,-0.058377394,0.102725111,-0.0204764,-0.147330866,-0.002892855,0.091440666,-0.365241718,0.275363981,-0.034467004,-0.064575008,0.113630883,-0.08799595,0.005304563,-0.022650269,0.001546787,-0.071877886,0.006592957,-0.00355665,0.11242264,-0.449050081,0.111199994,0.196358342,0.015598157,-0.042375802,-0.090809583,0.012280846,-0.005074667,0.052517588,-0.065415254,-0.018651837,0.08296409,0.100987679,0.006521747,0.008105777,0.010806571,-0.008925422,0.02408576,-0.091203255,-0.001136076,0.002747167,-0.0278476,-0.088370986
2007 Q3,1.53754,1.521355321,-2.14773813,0.11057695,0.371925832,-0.339159731,-0.065116397,0.006991628,0.121171507,0.202488674,0.224560974,-2.17668068,0.112067066,0.37693784,-0.343730189,-0.065993894,0.007085845,0.122804393,-0.009753551,0.206265871,0.205217377,0.008559937,0.034107372,0.008813919,-2.31232954,0.119050989,0.400428281,-0.271008464,0.102118346,-0.103300761,-0.070106577,0.031127308,-0.067709453,0.043710789,0.056028237,0.086883969,-0.018264785,-0.040430994,0.035575266,0.219120182,0.009363195,0.04420853,-0.030388238,-0.048749713,0.032812269,0.023769504,-0.010446292,0.218006347,0.036232914
2007 Q4,1.514275,1.519225758,-0.004175034,-0.472530384,-0.525527498,0.089738446,-0.079739403,-0.283779087,-0.278675843,-0.089807008,0.131370335,-0.004018226,-0.454782781,-0.505789395,0.086367991,-0.076744498,-0.273120728,-0.268209154,0.122298025,0.029748358,-0.086433978,-0.008423385,-0.086628437,0.01261073,-0.00393205,-0.445029357,-0.494942066,0.156607621,-0.011158762,-0.111803484,-0.07509861,-0.233479289,0.010570078,-0.023804637,-0.274229111,0.053072325,-0.004306154,0.00399987,-0.04080396,0.029110365,0.012340276,0.044977021,-0.056265133,0.115581079,0.007550874,-0.002508808,-0.000222705,-0.084580286,-0.084770574
